datetime,month,weekday,day,hour,Consumption,Temperature,Kosuiryo(mm),Nisha(MJ/m2),Sitsudo(%),Close(JPY/kWh),ShortVolume(kWh),LongVolume(kWh),EreaPriceTokyo(JPY/kWh)
2017-03-28 11:00:00,3,1,28,11,3813,11.4,0.0,2.94,36.0,8.67,7426250.0,4811000.0,7.81
2017-03-28 12:00:00,3,1,28,12,3598,12.7,0.0,3.14,40.0,6.915,8571500.0,4112000.0,7.44
2017-03-28 13:00:00,3,1,28,13,3694,13.4,0.0,3.05,31.0,8.584999999999999,7791000.0,4671500.0,7.699999999999999
2017-03-28 14:00:00,3,1,28,14,3673,13.6,0.0,2.71,42.0,7.425,7047250.0,4789750.0,7.88
2017-03-28 15:00:00,3,1,28,15,3673,12.2,0.0,1.91,35.0,7.18,5440000.0,4714500.0,8.120000000000001
2017-03-28 16:00:00,3,1,28,16,3761,11.7,0.0,0.67,37.0,13.895,5783000.0,4883500.0,12.53
2017-03-28 17:00:00,3,1,28,17,3876,11.4,0.0,0.26,42.0,14.175,4712250.0,4556000.0,12.05
2017-03-28 18:00:00,3,1,28,18,4015,9.1,0.0,0.11,62.0,15.86,3862250.0,4692000.0,12.53
2017-03-28 19:00:00,3,1,28,19,3947,8.9,0.0,0.0,69.0,12.635,4119750.0,4455000.0,12.32
2017-03-28 20:00:00,3,1,28,20,3836,9.2,0.0,0.0,73.0,12.969999999999999,4002250.0,4051500.0,12.065
2017-03-28 21:00:00,3,1,28,21,3674,8.5,0.0,0.0,82.0,13.26,2664750.0,3649000.0,11.455
2017-03-28 22:00:00,3,1,28,22,3496,8.3,0.0,0.0,80.0,11.67,3157250.0,3700250.0,10.955
2017-03-28 23:00:00,3,1,28,23,3244,8.3,0.0,0.0,80.0,10.235,3621750.0,3393000.0,9.89
2017-03-29 00:00:00,3,2,29,0,2980,7.1,0.0,0.0,87.0,9.605,3806000.0,3160750.0,8.99
2017-03-29 01:00:00,3,2,29,1,2844,6.9,0.0,0.0,86.0,9.595,3882000.0,3042250.0,8.655000000000001
2017-03-29 02:00:00,3,2,29,2,2791,6.5,0.0,0.0,85.0,10.114999999999998,3862500.0,3091000.0,8.780000000000001
2017-03-29 03:00:00,3,2,29,3,2772,5.7,0.0,0.0,89.0,10.370000000000001,3848750.0,3106500.0,9.129999999999999
2017-03-29 04:00:00,3,2,29,4,2806,5.3,0.0,0.0,88.0,10.335,3742750.0,3295000.0,9.16
2017-03-29 05:00:00,3,2,29,5,2958,4.8,0.0,0.0,87.0,10.364999999999998,3729250.0,3359750.0,9.27
2017-03-29 06:00:00,3,2,29,6,3203,4.9,0.0,0.04,85.0,10.62,3774750.0,3712500.0,9.735
2017-03-29 07:00:00,3,2,29,7,3386,5.9,0.0,0.38,80.0,11.215,4233750.0,4329500.0,10.125
2017-03-29 08:00:00,3,2,29,8,3684,7.4,0.0,1.06,73.0,11.08,5035250.0,4697500.0,9.86
2017-03-29 09:00:00,3,2,29,9,3845,9.4,0.0,1.74,68.0,15.865,5446000.0,5047250.0,9.95
2017-03-29 10:00:00,3,2,29,10,3809,10.6,0.0,2.14,61.0,12.49,5235000.0,5154250.0,8.575
2017-03-29 11:00:00,3,2,29,11,3739,11.2,0.0,1.87,49.0,10.99,5992500.0,4895750.0,8.405
2017-03-29 12:00:00,3,2,29,12,3510,12.9,0.0,1.75,59.0,8.45,7368250.0,4104250.0,7.6
2017-03-29 13:00:00,3,2,29,13,3575,12.3,0.0,2.26,49.0,8.29,6759750.0,4695000.0,8.135
